identifier,protein_families,pfam,pfam_clan,keyword,family,genus,gene_name,protein_name,uniprot_kb_id
A0A1L4BJ98,arthropod phospholipase D family|IC,PF13653 (GDPD_2)|35.9,CL0036 (TIM_barrel),KW-0204 (Cytolysis);KW-1061 (Dermonecrotic toxin);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Hemiscorpiidae,Hemiscorpius,,Dermonecrotic toxin Hl-PLD1,DTPLD_HEMLE
A0A5P3XKQ1,peptidase M27 family|IC,PF01742 (Peptidase_M27)|136.4;PF07952 (Toxin_trans)|245.6;PF07953 (Toxin_R_bind_N)|112.3,CL0004 (Concanavalin);CL0126 (Peptidase_MA),KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0528 (Neurotoxin);KW-0614 (Plasmid);KW-0645 (Protease);KW-0800 (Toxin);KW-0843 (Virulence);KW-0862 (Zinc),Peptostreptococcaceae,Paraclostridium,pmp1,Paraclostridial mosquitocidal protein 1,PMP1_PARBF
A0A6B7FMR5,venom metalloproteinase (M12B) family|TAS,PF00200 (Disintegrin)|38.7;PF01562 (Pep_M12B_propep)|60.2;PF08516 (ADAM_CR)|67.8,CL0750 (ADAM_CR_sf),KW-0106 (Calcium);KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Vipera,,Disintegrin-like/cysteine-rich protein MPIII-3,VMMP3_VIPAA
A0S864,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|28.0,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Colubridae,Boiga,,Irditoxin subunit A,3NBA_BOIIR
A8CG82,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|109.8,CL0629 (PLA2),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Daboia,,Basic phospholipase A2 DsM-b1/DsM-b1',PA2B1_DABSI
A8CG86,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|118.0,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Daboia,,Acidic phospholipase A2 Drk-a1,PA2A1_DABRR
A8QL56,peptidase S1 family|SAM,PF00089 (Trypsin)|196.3,CL0124 (Peptidase_PA),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Ophiophagus,,Alpha- and beta-fibrinogenase OhS1,VSP1_OPHHA
B3BM80,,PF04829 (PT-VENN)|73.7;PF21111 (CDI_toxin_EC869_like)|181.0;PF21483 (CdiA_helical)|91.4,CL0236 (PDDEXK),KW-0002 (3D-structure);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0540 (Nuclease);KW-1266 (Target cell cytoplasm);KW-0800 (Toxin);KW-0843 (Virulence);KW-0862 (Zinc),Enterobacteriaceae,Escherichia,cdiA4,Deoxyribonuclease CdiA-o11,CDIA4_ECO5C
B3EWF4,neurotoxin 19 (CSTX) family|SAM,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Zodariidae,Lachesana,,Latartoxin-2a,LTX2A_LACTA
B7UI21,glycosyltransferase NleB family|IC,PF24688 (SseK_NleB)|599.9,CL0110 (GT-A),KW-0002 (3D-structure);KW-0325 (Glycoprotein);KW-0328 (Glycosyltransferase);KW-1035 (Host cytoplasm);KW-0464 (Manganese);KW-0479 (Metal-binding);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Enterobacteriaceae,Escherichia,nleB1,Protein-arginine N-acetylglucosaminyltransferase NleB1,NLEB1_ECO27
B7UI22,NleE/OspZ family|IC,PF20798 (NleE)|413.3,,KW-1048 (Host nucleus);KW-0489 (Methyltransferase);KW-1185 (Reference proteome);KW-0949 (S-adenosyl-L-methionine);KW-0964 (Secreted);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Enterobacteriaceae,Escherichia,nleE,Cysteine S-methyltransferase NleE,NLEE_ECO27
C0HJD3,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|41.2,CL0117 (uPAR_Ly6_toxin),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0800 (Toxin),Colubridae,Oxybelis,,Fulgimotoxin,3NB_OXYFU
C0HJE7,flavin monoamine oxidase family|IC,PF01593 (Amino_oxidase)|289.5,CL0063 (NADP_Rossmann),KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,L-amino acid oxidase bordonein-L,OXLA_CRODU
C0HJQ2,short scorpion toxin superfamily|TAS,PF00451 (Toxin_2)|34.4,CL0054 (Knottin_1),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Buthidae,Buthus,,Potassium channel toxin alpha-KTx 19.2,KA192_BUTOC
C0HJU3,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|57.9,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Bothrops,,Acidic phospholipase A2,PA2A1_BOTPA
C0HKG7,neurotoxin 19 (CSTX) family|IC,PF10530 (Toxin_35)|77.2,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0960 (Knottin);KW-0472 (Membrane);KW-0528 (Neurotoxin);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin);KW-0812 (Transmembrane),Cheiracanthiidae,Cheiracanthium,,DELTA-miturgitoxin-Cp1a,TX1A_CHEPU
C0HKG9,neurotoxin 19 (CSTX) family|IC,PF10530 (Toxin_35)|77.5,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0960 (Knottin);KW-0472 (Membrane);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin);KW-0812 (Transmembrane),Cheiracanthiidae,Cheiracanthium,,DELTA-miturgitoxin-Cp1c,TX1C_CHEPU
C0HLG4,short scorpion toxin superfamily|IC,,,KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1035 (Host cytoplasm);KW-0872 (Ion channel impairing toxin);KW-0582 (Pharmaceutical);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Scorpionidae,Urodacus,,Wasabi receptor toxin,KKX1U_UROMN
C6EVG7,In the C-terminal section|SAM,PF00212 (ANP)|42.1,,KW-1222 (Bradykinin receptor impairing toxin);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1213 (G-protein coupled receptor impairing toxin);KW-0382 (Hypotensive agent);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive),Helodermatidae,Heloderma,,Natriuretic and helokinestatin peptides,VNHP_HELSC
C7G3K3,long chain scorpion toxin family|IC,PF14866 (Scorpion_toxin_alpha-beta)|82.7,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Hemiscorpiidae,Liocheles,,Peptide LaIT2,KBX2_LIOAU
D2Y1Z7,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Hainantoxin-III 7,H3A07_CYRHA
D2Y1Z8,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Hainantoxin-III 8,H3A08_CYRHA
D2Y233,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Mu-theraphotoxin-Hhn1b 2,H4A02_CYRHA
D2Y2D3,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Hainantoxin-III 11,H3A11_CYRHA
D2Y2D7,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Mu-theraphotoxin-Hhn1b 3,H4A03_CYRHA
D3TTC1,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|200.1;PF01562 (Pep_M12B_propep)|65.0;PF08516 (ADAM_CR)|66.9,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Elapidae,Naja,,Zinc metalloproteinase-disintegrin-like kaouthiagin-like,VM3KL_NAJAT
D5CBA0,In the N-terminal section|IC,PF04829 (PT-VENN)|64.4;PF05860 (TPS)|165.9;PF13332 (Fil_haemagg_2)|220.2;PF15526 (Ntox21)|32.6,CL0268 (Pec_lyase-like),KW-0002 (3D-structure);KW-0255 (Endonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-1185 (Reference proteome);KW-0732 (Signal);KW-1266 (Target cell cytoplasm);KW-0800 (Toxin);KW-0843 (Virulence),Enterobacteriaceae,Enterobacter,cdiA,16S rRNA endonuclease CdiA,CDIA_ENTCC
E0Y419,peptidase S1 family|SAM,PF00089 (Trypsin)|203.6,CL0124 (Peptidase_PA),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0730 (Sialic acid);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Viperidae,Macrovipera,,Beta-fibrinogenase,VSPBF_MACLB
H9T8G6,CdiA toxin family|IC,PF13332 (Fil_haemagg_2)|209.5;PF18664 (CdiA_C_tRNase)|131.1,CL0236 (PDDEXK);CL0268 (Pec_lyase-like),KW-0002 (3D-structure);KW-0255 (Endonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-0694 (RNA-binding);KW-1266 (Target cell cytoplasm);KW-0800 (Toxin);KW-0820 (tRNA-binding);KW-0843 (Virulence),Burkholderiaceae,Burkholderia,cdiA,tRNA nuclease CdiA,CDIA9_BURPE
L0PJV8,frog skin active peptide (FSAP) family|IC,PF03032 (FSAP_sig_propep)|72.8,,KW-0878 (Amphibian defense peptide);KW-0903 (Direct protein sequencing);KW-1213 (G-protein coupled receptor impairing toxin);KW-0379 (Hydroxylation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive);KW-0840 (Vasodilator),Hylidae,Agalychnis,,"[Thr6]-bradykinyl-Val,Asp",BRKP1_AGACL
O61705,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|84.0,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Olivierus,,Neurotoxin BmK-M10,SCXA_OLIMR
O74420,WTF family|IC,PF03303 (WTF)|299.8,,KW-0024 (Alternative initiation);KW-0963 (Cytoplasm);KW-0256 (Endoplasmic reticulum);KW-0472 (Membrane);KW-1185 (Reference proteome);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0926 (Vacuole),Schizosaccharomycetaceae,Schizosaccharomyces,wtf13,Meiotic driver wtf13,WTF13_SCHPO
O93364,flavin monoamine oxidase family|IC,PF01593 (Amino_oxidase)|285.6,CL0063 (NADP_Rossmann),KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,L-amino-acid oxidase,OXLA_CROAD
O93523,venom metalloproteinase (M12B) family|IC,PF00200 (Disintegrin)|71.5;PF01421 (Reprolysin)|194.9;PF01562 (Pep_M12B_propep)|61.2;PF08516 (ADAM_CR)|63.6,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0002 (3D-structure);KW-0106 (Calcium);KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-1201 (Platelet aggregation inhibiting toxin);KW-0645 (Protease);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Viperidae,Bothrops,,Zinc metalloproteinase-disintegrin-like bothropasin,VM3BP_BOTJA
P00617,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|107.5,CL0629 (PLA2),KW-0002 (3D-structure);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Bungarus,,Basic phospholipase A2 beta-bungarotoxin A1 chain,PA2B1_BUNMU
P00618,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|108.2,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Bungarus,,Basic phospholipase A2 beta-bungarotoxin A2 chain,PA2B2_BUNMU
P00619,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|105.9,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Bungarus,,Acidic phospholipase A2 beta-bungarotoxin A3 chain,PA2A3_BUNMU
P00623,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|110.1,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,Acidic phospholipase A2 beta,PA2A_CROAD
P00625,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|100.8,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Ovophis,,Acidic phospholipase A2 DE-I,PA2A1_OVOOK
P00626,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|119.5,CL0629 (PLA2),KW-0002 (3D-structure);KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-1035 (Host cytoplasm);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Vipera,,Basic phospholipase A2 ammodytoxin A,PA2BA_VIPAA
P01391,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|61.3,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Naja,,Alpha-cobratoxin,3L21_NAJKA
