label_type	label	count	meaning
keyword_first	Nucleus	15	First UniProt keyword attached to the protein: 'Nucleus'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Proteomics identification	14	First UniProt keyword attached to the protein: 'Proteomics identification'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cell adhesion	12	First UniProt keyword attached to the protein: 'Cell adhesion'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Alternative promoter usage	12	First UniProt keyword attached to the protein: 'Alternative promoter usage'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chaperone	11	First UniProt keyword attached to the protein: 'Chaperone'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	ADP-ribosylation	10	First UniProt keyword attached to the protein: 'ADP-ribosylation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Angiogenesis	10	First UniProt keyword attached to the protein: 'Angiogenesis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	2Fe-2S	9	First UniProt keyword attached to the protein: '2Fe-2S'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Antiport	9	First UniProt keyword attached to the protein: 'Antiport'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cytoplasmic vesicle	9	First UniProt keyword attached to the protein: 'Cytoplasmic vesicle'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cataract	9	First UniProt keyword attached to the protein: 'Cataract'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Carbohydrate metabolism	9	First UniProt keyword attached to the protein: 'Carbohydrate metabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Antiviral defense	9	First UniProt keyword attached to the protein: 'Antiviral defense'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Keratinization	9	First UniProt keyword attached to the protein: 'Keratinization'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Metal-binding	9	First UniProt keyword attached to the protein: 'Metal-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	ANK repeat	8	First UniProt keyword attached to the protein: 'ANK repeat'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Endosome	8	First UniProt keyword attached to the protein: 'Endosome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Albinism	7	First UniProt keyword attached to the protein: 'Albinism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Congenital disorder of glycosylation	7	First UniProt keyword attached to the protein: 'Congenital disorder of glycosylation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	4Fe-4S	6	First UniProt keyword attached to the protein: '4Fe-4S'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Phosphoprotein	6	First UniProt keyword attached to the protein: 'Phosphoprotein'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Blood group antigen	6	First UniProt keyword attached to the protein: 'Blood group antigen'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cytokine	6	First UniProt keyword attached to the protein: 'Cytokine'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Deafness	5	First UniProt keyword attached to the protein: 'Deafness'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chromosomal rearrangement	5	First UniProt keyword attached to the protein: 'Chromosomal rearrangement'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cardiomyopathy	5	First UniProt keyword attached to the protein: 'Cardiomyopathy'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Biomineralization	5	First UniProt keyword attached to the protein: 'Biomineralization'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Golgi apparatus	5	First UniProt keyword attached to the protein: 'Golgi apparatus'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Antibiotic	5	First UniProt keyword attached to the protein: 'Antibiotic'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Amino-acid transport	5	First UniProt keyword attached to the protein: 'Amino-acid transport'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Differentiation	4	First UniProt keyword attached to the protein: 'Differentiation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Isopeptide bond	4	First UniProt keyword attached to the protein: 'Isopeptide bond'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cholesterol metabolism	4	First UniProt keyword attached to the protein: 'Cholesterol metabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Antimicrobial	4	First UniProt keyword attached to the protein: 'Antimicrobial'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Aspartyl protease	4	First UniProt keyword attached to the protein: 'Aspartyl protease'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Biological rhythms	4	First UniProt keyword attached to the protein: 'Biological rhythms'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chemotaxis	4	First UniProt keyword attached to the protein: 'Chemotaxis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chromatin regulator	4	First UniProt keyword attached to the protein: 'Chromatin regulator'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Basement membrane	3	First UniProt keyword attached to the protein: 'Basement membrane'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Centromere	3	First UniProt keyword attached to the protein: 'Centromere'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Mitochondrion	3	First UniProt keyword attached to the protein: 'Mitochondrion'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Methyltransferase	3	First UniProt keyword attached to the protein: 'Methyltransferase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Amelogenesis imperfecta	3	First UniProt keyword attached to the protein: 'Amelogenesis imperfecta'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Hydrolase	3	First UniProt keyword attached to the protein: 'Hydrolase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Autophagy	3	First UniProt keyword attached to the protein: 'Autophagy'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Reference proteome	3	First UniProt keyword attached to the protein: 'Reference proteome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Aortic aneurysm	3	First UniProt keyword attached to the protein: 'Aortic aneurysm'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Aminopeptidase	3	First UniProt keyword attached to the protein: 'Aminopeptidase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Lipid metabolism	3	First UniProt keyword attached to the protein: 'Lipid metabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Diabetes mellitus	3	First UniProt keyword attached to the protein: 'Diabetes mellitus'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Allosteric enzyme	2	First UniProt keyword attached to the protein: 'Allosteric enzyme'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Growth regulation	2	First UniProt keyword attached to the protein: 'Growth regulation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Bardet-Biedl syndrome	2	First UniProt keyword attached to the protein: 'Bardet-Biedl syndrome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Acute phase	2	First UniProt keyword attached to the protein: 'Acute phase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Copper	2	First UniProt keyword attached to the protein: 'Copper'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Ion channel	2	First UniProt keyword attached to the protein: 'Ion channel'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Actin capping	2	First UniProt keyword attached to the protein: 'Actin capping'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Ciliopathy	2	First UniProt keyword attached to the protein: 'Ciliopathy'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chondrogenesis	2	First UniProt keyword attached to the protein: 'Chondrogenesis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Methylation	2	First UniProt keyword attached to the protein: 'Methylation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Collagen	2	First UniProt keyword attached to the protein: 'Collagen'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Atrial fibrillation	2	First UniProt keyword attached to the protein: 'Atrial fibrillation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Lipid droplet	1	First UniProt keyword attached to the protein: 'Lipid droplet'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Bartter syndrome	1	First UniProt keyword attached to the protein: 'Bartter syndrome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Congenital dyserythropoietic anemia	1	First UniProt keyword attached to the protein: 'Congenital dyserythropoietic anemia'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Leucine-rich repeat	1	First UniProt keyword attached to the protein: 'Leucine-rich repeat'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Electron transport	1	First UniProt keyword attached to the protein: 'Electron transport'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Congenital myasthenic syndrome	1	First UniProt keyword attached to the protein: 'Congenital myasthenic syndrome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Dioxygenase	1	First UniProt keyword attached to the protein: 'Dioxygenase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Guanine-nucleotide releasing factor	1	First UniProt keyword attached to the protein: 'Guanine-nucleotide releasing factor'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Lipid-binding	1	First UniProt keyword attached to the protein: 'Lipid-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Allergen	1	First UniProt keyword attached to the protein: 'Allergen'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Lyase	1	First UniProt keyword attached to the protein: 'Lyase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Kelch repeat	1	First UniProt keyword attached to the protein: 'Kelch repeat'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Atrial septal defect	1	First UniProt keyword attached to the protein: 'Atrial septal defect'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Complement pathway	1	First UniProt keyword attached to the protein: 'Complement pathway'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cilium biogenesis/degradation	1	First UniProt keyword attached to the protein: 'Cilium biogenesis/degradation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cholesterol biosynthesis	1	First UniProt keyword attached to the protein: 'Cholesterol biosynthesis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Nucleotidyltransferase	1	First UniProt keyword attached to the protein: 'Nucleotidyltransferase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Age-related macular degeneration	1	First UniProt keyword attached to the protein: 'Age-related macular degeneration'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chromosome partition	1	First UniProt keyword attached to the protein: 'Chromosome partition'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Host-virus interaction	1	First UniProt keyword attached to the protein: 'Host-virus interaction'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Alport syndrome	1	First UniProt keyword attached to the protein: 'Alport syndrome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Ion transport	1	First UniProt keyword attached to the protein: 'Ion transport'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cadmium	1	First UniProt keyword attached to the protein: 'Cadmium'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Annexin	1	First UniProt keyword attached to the protein: 'Annexin'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Fatty acid biosynthesis	1	First UniProt keyword attached to the protein: 'Fatty acid biosynthesis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Citrullination	1	First UniProt keyword attached to the protein: 'Citrullination'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Catecholamine metabolism	1	First UniProt keyword attached to the protein: 'Catecholamine metabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Amidation	1	First UniProt keyword attached to the protein: 'Amidation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Aromatic hydrocarbons catabolism	1	First UniProt keyword attached to the protein: 'Aromatic hydrocarbons catabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Fatty acid metabolism	1	First UniProt keyword attached to the protein: 'Fatty acid metabolism'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Charcot-Marie-Tooth disease	1	First UniProt keyword attached to the protein: 'Charcot-Marie-Tooth disease'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Blood coagulation	1	First UniProt keyword attached to the protein: 'Blood coagulation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Calmodulin-binding	1	First UniProt keyword attached to the protein: 'Calmodulin-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	CF(0)	1	First UniProt keyword attached to the protein: 'CF(0)'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	mRNA processing	1	First UniProt keyword attached to the protein: 'mRNA processing'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	ER-Golgi transport	1	First UniProt keyword attached to the protein: 'ER-Golgi transport'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	GTP-binding	1	First UniProt keyword attached to the protein: 'GTP-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Aminotransferase	1	First UniProt keyword attached to the protein: 'Aminotransferase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Intellectual disability	1	First UniProt keyword attached to the protein: 'Intellectual disability'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Immunity	1	First UniProt keyword attached to the protein: 'Immunity'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Autism spectrum disorder	1	First UniProt keyword attached to the protein: 'Autism spectrum disorder'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	GTPase activation	1	First UniProt keyword attached to the protein: 'GTPase activation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	DNA damage	1	First UniProt keyword attached to the protein: 'DNA damage'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chylomicron	1	First UniProt keyword attached to the protein: 'Chylomicron'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Exonuclease	1	First UniProt keyword attached to the protein: 'Exonuclease'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Fertilization	1	First UniProt keyword attached to the protein: 'Fertilization'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Congenital muscular dystrophy	1	First UniProt keyword attached to the protein: 'Congenital muscular dystrophy'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Carboxypeptidase	1	First UniProt keyword attached to the protein: 'Carboxypeptidase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
