identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
A2A2Y4,,PF00373 (FERM_M)|90.5;PF08736 (FA)|57.2;PF09379 (FERM_N)|76.2;PF09380 (FERM_C)|81.6,CL0072 (Ubiquitin);CL0266 (PH);CL0632 (FERM_M),KW-0025 (Alternative splicing);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,FRMD3,FERM domain-containing protein 3,FRMD3_HUMAN
A2RU14,TMEM218 family|IC,PF25810 (TMEM218_N)|98.6,,KW-0966 (Cell projection);KW-1186 (Ciliopathy);KW-0225 (Disease variant);KW-0979 (Joubert syndrome);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TMEM218,Transmembrane protein 218,TM218_HUMAN
A2RUB6,,PF15236 (CCDC66)|199.0,,KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0966 (Cell projection);KW-0969 (Cilium);KW-0970 (Cilium biogenesis/degradation);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-1015 (Disulfide bond);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,CCDC66,Coiled-coil domain-containing protein 66,CCD66_HUMAN
A2RUC4,TYW5 family|IC,PF13621 (Cupin_8)|155.2,CL0029 (Cupin),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0223 (Dioxygenase);KW-0408 (Iron);KW-0479 (Metal-binding);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0819 (tRNA processing),Hominidae,TYW5,tRNA wybutosine-synthesizing protein 5,TYW5_HUMAN
A3KN83,SBNO family|IC,PF13871 (Helicase_C_4)|400.0;PF13872 (AAA_34)|479.8;PF25373 (SBNO)|144.1,CL0023 (P-loop_NTPase),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0395 (Inflammatory response);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0879 (Wnt signaling pathway),Hominidae,SBNO1,Protein strawberry notch homolog 1,SBNO1_HUMAN
A4D1B5,GSAP family|IC,PF14959 (GSAP-16)|129.0,,KW-0025 (Alternative splicing);KW-0333 (Golgi apparatus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,GSAP,Gamma-secretase-activating protein,GSAP_HUMAN
A4GXA9,EME1/MMS4 family|IC,PF02732 (ERCC4)|32.8;PF21292 (EME1-MUS81_C)|90.3,CL0198 (HHH);CL0236 (PDDEXK),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0227 (DNA damage);KW-0233 (DNA recombination);KW-0234 (DNA repair);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,EME2,Structure-specific endonuclease subunit EME2,EME2_HUMAN
A5D8V7,,,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-1186 (Ciliopathy);KW-0970 (Cilium biogenesis/degradation);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-1012 (Kartagener syndrome);KW-0990 (Primary ciliary dyskinesia);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,ODAD3,Outer dynein arm-docking complex subunit 3,ODAD3_HUMAN
A5PLL7,fatty acid desaturase CarF family|IC,PF10520 (Lipid_desat)|252.0,CL0713 (Acyl-CoA_desat),KW-0025 (Alternative splicing);KW-0256 (Endoplasmic reticulum);KW-0276 (Fatty acid metabolism);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PEDS1,Plasmanylethanolamine desaturase 1,PEDS1_HUMAN
A6BM72,MEGF family|IC,PF00053 (EGF_laminin)|173.9;PF12661 (hEGF)|63.7;PF23106 (EGF_Teneurin)|86.9;PF23301 (EGF_PEAR1L)|217.9,CL0001 (EGF),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MEGF11,Multiple epidermal growth factor-like domains protein 11,MEG11_HUMAN
A6H8Y1,,PF15963 (Myb_DNA-bind_7)|92.3,CL0123 (HTH),KW-0002 (3D-structure);KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0209 (Deafness);KW-1010 (Non-syndromic deafness);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,BDP1,Transcription factor TFIIIB component B'' homolog,BDP1_HUMAN
A6NCS4,NK-2 homeobox family|IC,PF00046 (Homeodomain)|74.6,CL0123 (HTH),KW-0010 (Activator);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,NKX2-6,Homeobox protein Nkx-2.6,NKX26_HUMAN
A6NFY7,complex I LYR family|IC,PF05347 (Complex1_LYR)|47.7,CL0491 (LYR-like),KW-0143 (Chaperone);KW-0225 (Disease variant);KW-0496 (Mitochondrion);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",SDHF1_HUMAN
A6NGG8,,PF15449 (Retinal)|2163.4,,KW-0002 (3D-structure);KW-0966 (Cell projection);KW-1186 (Ciliopathy);KW-0969 (Cilium);KW-0182 (Cone-rod dystrophy);KW-0225 (Disease variant);KW-0449 (Lipoprotein);KW-0519 (Myristate);KW-0564 (Palmitate);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0682 (Retinitis pigmentosa);KW-0716 (Sensory transduction);KW-0844 (Vision),Hominidae,PCARE,Photoreceptor cilium actin regulator,PCARE_HUMAN
A6NI61,TMEM8 family|IC,PF12036 (DUF3522)|165.7,CL0192 (GPCR_A),KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-0333 (Golgi apparatus);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0517 (Myogenesis);KW-0564 (Palmitate);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MYMK,Protein myomaker,MYMK_HUMAN
A6NKB5,pecanex family|IC,PF05041 (Pecanex_C)|385.0,,KW-0025 (Alternative splicing);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PCNX2,Pecanex-like protein 2,PCX2_HUMAN
A6NNB3,CD225/Dispanin family|IC,PF04505 (CD225)|92.2,,KW-1003 (Cell membrane);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0495 (Mineral balance);KW-1065 (Osteogenesis imperfecta);KW-0564 (Palmitate);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,IFITM5,Interferon-induced transmembrane protein 5,IFM5_HUMAN
A6QL63,,PF00023 (Ank)|76.3;PF00651 (BTB)|79.1;PF12796 (Ank_2)|73.5;PF26281 (Histone_ABTB)|149.0,CL0012 (Histone);CL0033 (POZ);CL0465 (Ank),KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,ABTB3,Ankyrin repeat- and BTB/POZ domain-containing protein 3,ABTB3_HUMAN
A7E2V4,ZSWIM8 family|IC,PF21055 (ZSWIM4-8_C)|177.8;PF25572 (TPR_ZSWIM8)|265.3,CL0020 (TPR),KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,ZSWIM8,Zinc finger SWIM domain-containing protein 8,ZSWM8_HUMAN
A7MCY6,,PF12845 (TBD)|70.4,,KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0945 (Host-virus interaction);KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,TBKBP1,TANK-binding kinase 1-binding protein 1,TBKB1_HUMAN
A7MD48,nSR100 family|IC,PF15230 (SRRM_C)|91.1,,KW-0221 (Differentiation);KW-0507 (mRNA processing);KW-0508 (mRNA splicing);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0694 (RNA-binding),Hominidae,SRRM4,Serine/arginine repetitive matrix protein 4,SRRM4_HUMAN
A7XYQ1,SOBP family|SAM,PF06467 (zf-FCS)|30.0;PF15279 (SOBP)|381.9,CL0175 (TRASH),KW-0991 (Intellectual disability);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0832 (Ubl conjugation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,SOBP,Sine oculis-binding protein homolog,SOBP_HUMAN
A8MQ03,CYSRT1 family|IC,PF10631 (DUF2477)|276.2,,KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,CYSRT1,Cysteine-rich tail protein 1,CRTP1_HUMAN
A8MW99,MEI4L family|IC,PF13971 (Mei4)|416.3,,KW-0158 (Chromosome);KW-0233 (DNA recombination);KW-0469 (Meiosis);KW-1185 (Reference proteome),Hominidae,MEI4,Meiosis-specific protein MEI4,MEI4_HUMAN
A9UHW6,MIF4GD family|IC,PF02854 (MIF4G)|55.5,CL0020 (TPR),KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0810 (Translation regulation),Hominidae,MIF4GD,MIF4G domain-containing protein,MI4GD_HUMAN
B1AK53,,PF02205 (WH2)|24.1;PF12796 (Ank_2)|248.2;PF13637 (Ank_4)|164.1,CL0465 (Ank),KW-0009 (Actin-binding);KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0209 (Deafness);KW-0225 (Disease variant);KW-1009 (Hearing);KW-1010 (Non-syndromic deafness);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0682 (Retinitis pigmentosa);KW-0836 (Usher syndrome),Hominidae,ESPN,Espin,ESPN_HUMAN
B2RUY7,,PF23331 (VWC2L_C)|63.3;PF23333 (VWC2L_1st)|70.9;PF23334 (VWC2L_2nd)|88.5,CL0451 (FnI-like),KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0770 (Synapse),Hominidae,VWC2L,von Willebrand factor C domain-containing protein 2-like,VWC2L_HUMAN
B3KU38,,PF10148 (SCHIP-1_C)|321.8;PF15157 (IQCJ-SCHIP1)|155.3,CL0220 (EF_hand),KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0597 (Phosphoprotein);KW-1185 (Reference proteome),Hominidae,IQCJ-SCHIP1,IQCJ-SCHIP1 readthrough transcript protein,IQIP1_HUMAN
B6A8C7,,PF13895 (Ig_2)|60.9,CL0159 (E-set),KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0399 (Innate immunity);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TARM1,"T-cell-interacting, activating receptor on myeloid cells protein 1",TARM1_HUMAN
B7U540,inward rectifier-type potassium channel (TC 1|IC,PF01007 (IRK)|219.9;PF08466 (IRK_N)|83.6;PF17655 (IRK_C)|260.0,CL0030 (Ion_channel);CL0159 (E-set),KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-0630 (Potassium);KW-0633 (Potassium transport);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-0851 (Voltage-gated channel),Hominidae,KCNJ18,Inward rectifier potassium channel 18,KCJ18_HUMAN
C9JLW8,MCRIP family|IC,PF14799 (FAM195)|83.0,,KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,MCRIP1,Mapk-regulated corepressor-interacting protein 1,MCRI1_HUMAN
C9JRZ8,aldo/keto reductase family|IC,PF00248 (Aldo_ket_red)|200.5,CL0036 (TIM_barrel),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0443 (Lipid metabolism);KW-0496 (Mitochondrion);KW-0521 (NADP);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,AKR1B15,Aldo-keto reductase family 1 member B15,AK1BF_HUMAN
D3W0D1,,PF00059 (Lectin_C)|49.9,CL0056 (C_Lectin),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0430 (Lectin);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,KLRF2,Killer cell lectin-like receptor subfamily F member 2,KLRF2_HUMAN
E0CX11,STMP1 family|IC,PF15054 (DUF4535)|39.6,,KW-0391 (Immunity);KW-0399 (Innate immunity);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-1000 (Mitochondrion outer membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,STMP1,Short transmembrane mitochondrial protein 1,STMP1_HUMAN
O00115,DNase II family|IC,PF03265 (DNase_II)|433.3,CL0479 (PLD),KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0255 (Endonuclease);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0458 (Lysosome);KW-0540 (Nuclease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal),Hominidae,DNASE2,Deoxyribonuclease-2-alpha,DNS2A_HUMAN
O00116,FAD-binding oxidoreductase/transferase type 4 family|IC,PF01565 (FAD_binding_4)|134.9;PF02913 (FAD-oxidase_C)|179.0,CL0077 (FAD_PCMH);CL0277 (FAD-oxidase_C),KW-0007 (Acetylation);KW-0898 (Cataract);KW-0225 (Disease variant);KW-0242 (Dwarfism);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0576 (Peroxisome);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0685 (Rhizomelic chondrodysplasia punctata);KW-0808 (Transferase);KW-0809 (Transit peptide),Hominidae,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",ADAS_HUMAN
O00159,TRAFAC class myosin-kinesin ATPase superfamily|IC,PF00063 (Myosin_head)|825.6;PF00612 (IQ)|33.9;PF06017 (Myosin_TH1)|84.7,CL0023 (P-loop_NTPase);CL0220 (EF_hand);CL0266 (PH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0009 (Actin-binding);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0112 (Calmodulin-binding);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0903 (Direct protein sequencing);KW-0472 (Membrane);KW-0488 (Methylation);KW-0505 (Motor protein);KW-0518 (Myosin);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,MYO1C,Unconventional myosin-Ic,MYO1C_HUMAN
O00161,SNAP-25 family|IC,PF00835 (SNAP-25)|82.2,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0175 (Coiled coil);KW-0903 (Direct protein sequencing);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0770 (Synapse);KW-0771 (Synaptosome);KW-0813 (Transport),Hominidae,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN
O00165,HAX1 family|IC,,,KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0703 (Sarcoplasmic reticulum),Hominidae,HAX1,HCLS1-associated protein X-1,HAX1_HUMAN
O00168,FXYD family|IC,PF02038 (ATP1G1_PLM_MAT8)|93.3,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0318 (Glutathionylation);KW-0406 (Ion transport);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-0597 (Phosphoprotein);KW-0630 (Potassium);KW-0633 (Potassium transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0915 (Sodium);KW-0739 (Sodium transport);KW-0740 (Sodium/potassium transport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,FXYD1,Phospholemman,PLM_HUMAN
O00214,,PF00337 (Gal-bind_lectin)|285.3,CL0004 (Concanavalin),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0072 (Autophagy);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0430 (Lectin);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,LGALS8,Galectin-8,LEG8_HUMAN
O00237,,PF13639 (zf-RING_2)|40.4,CL0229 (RING),KW-0256 (Endoplasmic reticulum);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,RNF103,E3 ubiquitin-protein ligase RNF103,RN103_HUMAN
O00254,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|168.9,CL0192 (GPCR_A),KW-0025 (Alternative splicing);KW-0094 (Blood coagulation);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0356 (Hemostasis);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,F2RL2,Proteinase-activated receptor 3,PAR3_HUMAN
O00268,TAF4 family|IC,PF05236 (TAF4)|308.3;PF07531 (TAFH)|136.5,CL0012 (Histone),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0945 (Host-virus interaction);KW-0991 (Intellectual disability);KW-0488 (Methylation);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,TAF4,Transcription initiation factor TFIID subunit 4,TAF4_HUMAN
O00291,SLA2 family|IC,PF01608 (I_LWEQ)|182.8;PF07651 (ANTH)|285.9;PF16515 (HIP1_clath_bdg)|109.3;PF27524 (HIP1R)|167.4,CL0020 (TPR);CL0705 (VBS-like),KW-0002 (3D-structure);KW-0009 (Actin-binding);KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0160 (Chromosomal rearrangement);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0221 (Differentiation);KW-0254 (Endocytosis);KW-0472 (Membrane);KW-0523 (Neurodegeneration);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,HIP1,Huntingtin-interacting protein 1,HIP1_HUMAN
O00300,,PF00020 (TNFR_c6)|104.8;PF23630 (Death_TNFRSF11B)|268.8,CL0041 (Death);CL0607 (TNF_receptor),KW-0002 (3D-structure);KW-0053 (Apoptosis);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,TR11B_HUMAN
