identifier,ec,keyword,length,protein_families,reviewed,root,domain,kingdom,phylum,class,order,family,genus,species,gene_name,protein_name,uniprot_kb_id
A0A023IWK5,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rimosa,,MSDIN-like toxin proprotein 2,MSD2_AMARI
A0A023IWK6,,KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,Beta-amanitin proprotein,BAMA1_AMAPH
A0A023IWK7,,KW-0379 (Hydroxylation);KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea,AMA,Alpha-amanitin proprotein,AAMAT_AMAPL
A0A023IWM4,,KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,,MSDIN-like toxin proprotein 1,MSD1_AMAFU
A0A023IWM5,,KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,MSDIN-like toxin proprotein 2,MSD2_AMAPH
A0A023IWM6,,KW-0800 (Toxin),35,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rimosa,,MSDIN-like toxin proprotein 1,MSD1_AMARI
A0A023IWM7,,KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rimosa,,Beta-amanitin proprotein,BAMAT_AMARI
A0A023IWM8,,KW-0379 (Hydroxylation);KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rimosa,AMA,Alpha-amanitin proprotein,AAMA1_AMARI
A0A023UA23,,KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,,Phallacidin proprotein,PHAT_AMAFU
A0A023UBA8,,KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rimosa,,Phallacidin proprotein,PHAT_AMARI
A0A023UBX6,,KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis,PHA3,Phallacidin proprotein 1,PHAT1_AMAEX
A0A023UBY3,,KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,PHA1,Phallacidin proprotein 1,PHAT_AMAPH
A0A023UCA6,,KW-0379 (Hydroxylation);KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,Alpha-amanitin proprotein,AAMA2_AMAFL
A0A023UCC1,,KW-0883 (Thioether bond);KW-0800 (Toxin),23,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,Phallacidin proprotein,PHAT_AMAFL
A0A023VZF1,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),72,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1f,TX41F_ETHRU
A0A023VZM6,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),78,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1c,TX41C_ETHRU
A0A023VZR2,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),206,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Cormocephalus,Cormocephalus westwoodi,,U-scoloptoxin(08)-Cw1a,TX81A_CORWE
A0A023W082,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),78,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1b,TX41B_ETHRU
A0A023W090,,KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),78,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1e,TX41E_ETHRU
A0A023W0B6,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),167,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(08)-Er5a,TX85A_ETHRU
A0A023W0C3,,KW-0165 (Cleavage on pair of basic residues);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),124,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin-Er5d,TX85D_ETHRU
A0A023W0U0,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),78,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1d,TX41D_ETHRU
A0A023W0V6,,KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),74,scoloptoxin-09 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra morsitans,,U-scoloptoxin(09)-Sm3a,TX93A_SCOMO
A0A023W0V9,,KW-0165 (Cleavage on pair of basic residues);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),167,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin-Er5c,TX85C_ETHRU
A0A023W0W9,,KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),145,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra morsitans,,U-scoloptoxin-Sm5a,TX85A_SCOMO
A0A023W123,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),78,scoloptoxin-04 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(04)-Er1a,TX41A_ETHRU
A0A023W140,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),88,scoloptoxin-XY family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(XY)-Er1a,TXX1A_ETHRU
A0A023W145,,KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),88,scoloptoxin-XY family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(XY)-Er1b,TXX1B_ETHRU
A0A023W157,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),167,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin(08)-Er5b,TX85B_ETHRU
A0A023W163,,KW-0165 (Cleavage on pair of basic residues);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),131,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Ethmostigmus,Ethmostigmus rubripes,,U-scoloptoxin-Er5e,TX85E_ETHRU
A0A023W168,,KW-0165 (Cleavage on pair of basic residues);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),122,scoloptoxin-08 family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra alternans,,U-scoloptoxin-Sa5a,TX85A_SCOAL
A0A059T2H4,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0960 (Knottin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),179,spider toxin CSTX family,Swiss-Prot,Entelegynae incertae sedis,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,Cheiracanthium punctorium,,DELTA-miturgitoxin-Cp2a,TX2A_CHEPU
A0A059U906,,KW-1221 (Calcium-activated potassium channel impairing toxin);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),54,short scorpion toxin superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,,Potassium channel toxin alpha-KTx 14.5,KA145_MESGB
A0A059UI21,,KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),57,short scorpion toxin superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,,Potassium channel toxin alpha-KTx 26.3,KA263_MESGB
A0A059UI30,,KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),91,long chain scorpion toxin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,,Potassium channel toxin Meg-beta-KTx1,KBX1_MESGB
A0A067SLB9,,KW-0002 (3D-structure);KW-0379 (Hydroxylation);KW-1185 (Reference proteome);KW-0883 (Thioether bond);KW-0800 (Toxin),35,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Galerina,Galerina marginata,AMA1-1,Alpha-amanitin proprotein 1,AAMA1_GALM3
A0A068B0Z6,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0108 (Calcium channel impairing toxin);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin),41,conotoxin A superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus litteratus,,Alpha-conotoxin Lt1.3 b,CA13B_CONLT
A0A068B409,,KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),40,conotoxin A superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,,Conotoxin Bt14.16,CAEG_CONBE
A0A068B6Q6,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),37,conotoxin A superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus betulinus,,Conotoxin Bt1.8,CA18_CONBE
A0A088BP94,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),73,neurotoxin 10 (Hwtx-1) family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,Mu-sparatoxin-Hv2,TXHV2_HETVE
A0A088MI62,,KW-0878 (Amphibian defense peptide);KW-1222 (Bradykinin receptor impairing toxin);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1213 (G protein-coupled receptor impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),61,frog skin active peptide (FSAP) family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Physalaemus nattereri,BKL,"[Val1,Thr6]-bradykinyl-Val,Asp",BRKP1_PHYNA
A0A088MIT0,,KW-0878 (Amphibian defense peptide);KW-1222 (Bradykinin receptor impairing toxin);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1213 (G protein-coupled receptor impairing toxin);KW-0379 (Hydroxylation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),134,frog skin active peptide (FSAP) family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,Physalaemus nattereri,BBN,Bradykinin-related peptides,BRKP2_PHYNA
A0A0A0V633,,KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),71,,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Scytodidae,Scytodes,Scytodes thoracica,,U5-scytotoxin-Sth1a,U51A_SCYTH
A0A0A0V662,,KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),60,,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Scytodidae,Scytodes,Scytodes thoracica,,U3-scytotoxin-Sth1a,U31A_SCYTH
A0A0A0VBR5,,KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),71,,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Scytodidae,Scytodes,Scytodes thoracica,,U3-scytotoxin-Sth1h,U31H_SCYTH
A0A0A0VBX4,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),95,conotoxin D superfamily,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus generalis,,Alpha-conotoxin GeXXA,CDKA_CONGR
A0A0B4J184,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),21,,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Terebridae,Neoterebra,Neoterebra variegata,,Venom peptide Tv1,T3A_NEOVA
A0A0B5A7M7,,KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),150,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,,Con-Ins Im1,INS1_CONIM
A0A0B5A7N1,,KW-0027 (Amidation);KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),128,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus floridulus,,Con-Ins F2b,INS2B_CONFO
A0A0B5A7N5,,KW-0027 (Amidation);KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),128,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus floridulus,,Con-Ins F2c,INS2C_CONFO
A0A0B5A7N8,,KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0379 (Hydroxylation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),124,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus textile,,Con-Ins Tx1,INS1_CONTE
A0A0B5A7P2,,KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0379 (Hydroxylation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),115,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,,Con-Ins G1c,INS1C_CONGE
A0A0B5A8P4,,KW-0027 (Amidation);KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0379 (Hydroxylation);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),113,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus geographus,,Con-Ins G3,INS3A_CONGE
A0A0B5A8P8,,KW-0119 (Carbohydrate metabolism);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0301 (Gamma-carboxyglutamic acid);KW-0313 (Glucose metabolism);KW-0372 (Hormone);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),140,insulin family,Swiss-Prot,cellular organisms,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,Conus imperialis,,Con-Ins Im2,INS2_CONIM
